Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp
19,29,101,25,exp,268.2,266.90000000000003,268.40000000000003,347.3,380.7,Every,river,in Norway,"looked soothing,",so I didn't know what to do.,0,INT-MEN,MEN,INT,in Norway,in the blog,country,blog,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,2191.3,looked,NA,NQ
19,29,102,80,fill,296,250.6,303.09999999999997,313.8,480.3,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,0,FILL,FILL,FILL,in Bogotá,in Colombia,country,city,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",1417.4,NA,NA,NQ
19,29,103,53,exp,300.70000000000005,251.3,334.3,400.7,1016.6999999999999,Every,rollercoaster,in Belgium,"looked thrilling,",so I knew just where to go.,1,INT-MEN,MEN,INT,in Belgium,in the vlog,country,vlog,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,2481.3,looked,2160.2999999999997,1
19,29,104,109,fill,302.8,347.1,401.1,351.2,380.7,I went on,the most scenic,boat trip,"in Greece,",so I'm glad I went.,0,FILL,FILL,FILL,in Greece,in Corfu,city,country,"I'm just back from a great holiday in Corfu. I'm really pleased! Allegedly,",1298.2,NA,NA,NQ
19,29,105,96,fill,263.6,247.70000000000002,382.2,285.3,353.9,I drank at,the trendiest,bar,"in Belgium,",so I really enjoyed it.,1,FILL,FILL,FILL,in Belgium,in Bruges,city,country,"I got home yesterday from a well-earned break in Bruges. You won't believe it! According to my friends,",2340.7,NA,2436.5,1
19,29,106,55,exp,281.7,252.1,247.4,314.90000000000003,499.5,Every,forest,looked sprawling,"in Austria,",so I didn't know what to do.,1,EXT-MEN,MEN,EXT,in Austria,in the blog,country,blog,I was reading a blog to get some ideas for sprawling forests to explore in Austria and other countries.,2642.3,looked,1987.5,1
19,29,107,32,exp,317,253.7,315.3,316.09999999999997,417.6,Every,apartment,on the website,"seemed wonderful,",so I booked straightaway.,1,INT-MAX,MAX,INT,in Madrid,on the website,city,website,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,1725.3,seemed,2081.7999999999997,1
19,29,108,66,fill,332,297.70000000000005,315.09999999999997,314.3,364.59999999999997,I got to see,the greenest,park,"in Brussels,",so I made some nice memories.,0,FILL,FILL,FILL,in Brussels,in Belgium,country,city,"I got home yesterday from a well-earned break in Belgium. You won't believe it! Apparently,",1343.5,NA,NA,NQ
19,29,109,28,exp,331.2,250.4,265.29999999999995,347.6,579.8,Every,eatery,in the vlog,"seemed funky,",so I didn't know what to do.,1,INT-MAX,MAX,INT,in Warsaw,in the vlog,city,vlog,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,1592,seemed,1585.2,1
19,29,110,41,exp,350.8,284.5,301.20000000000005,417.2,383.79999999999995,Every,waterfall,in Slovakia,"looked gorgeous,",so there was plenty of choice.,1,INT-MEN,MEN,INT,in Slovakia,in the brochure,country,brochure,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,1648.3000000000002,looked,1775.9,1
19,29,111,15,exp,333.8,281.9,334.7,348.7,463.7,Every,town,looked pretty,"in Peru,",so I had some deciding to do.,0,EXT-MEN,MEN,EXT,in Peru,in the blog,country,blog,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,1526.6,looked,NA,NQ
19,29,112,112,fill,298.8,287.7,314.7,331.4,446.2,I ate,the best,sushi,"in Japan,",so I really enjoyed it.,0,FILL,FILL,FILL,in Japan,in Kyoto,city,country,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",1240.3999999999999,NA,NA,NQ
19,29,113,38,exp,317.59999999999997,264.90000000000003,246.79999999999998,280.7,512.7,Every,pub,seemed cosy,"in the vlog,",so there was plenty of choice.,1,EXT-MAX,MAX,EXT,in Perth,in the vlog,city,vlog,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,1579,seemed,1368,1
19,29,114,24,exp,400.4,268.29999999999995,315.3,330.7,346.6,Every,getaway,on the app,"seemed romantic,",so I knew just where to go.,0,INT-MAX,MAX,INT,in Amsterdam,on the app,city,app,I was on a travel app researching romantic getaways to enjoy in Amsterdam and other cities.,1747.3000000000002,seemed,NA,NQ
19,29,115,8,exp,301.3,234.2,250.8,451.1,632.7,Every,hotel,in the vlog,"seemed luxurious,",so there was plenty of choice.,0,INT-MAX,MAX,INT,in Rome,in the vlog,city,vlog,I was watching a vlog for inspiration for luxurious hotels to try out in Rome and other cities.,1881.6,seemed,NA,NQ
19,29,116,79,fill,414.9,298.3,314.7,348.8,629.6,I tried,the best,ice-cream,"in Athens,",so I made some nice memories.,1,FILL,FILL,FILL,in Athens,in Greece,country,city,"I'm just back from a great holiday in Greece. I'm really pleased! According to locals,",1027.1,NA,2152.7,1
19,29,117,82,fill,346.5,262.6,263.2,298.8,337.9,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,1,FILL,FILL,FILL,in Tokyo,in Japan,country,city,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",1408.5,NA,1610.8,1
19,29,118,99,fill,330,270.5,502.29999999999995,382,352.1,I got to look around,the most well-established,museum,"in Scotland,",so I really enjoyed it.,1,FILL,FILL,FILL,in Scotland,in Dundee,city,country,"I got home yesterday from a great holiday in Dundee. You won't believe it! According to locals,",1292,NA,1318.6,1
19,29,119,52,exp,363.4,316.40000000000003,314.40000000000003,403,463.8,Every,lodge,on the website,"seemed inexpensive,",so I knew just where to go.,0,INT-MAX,MAX,INT,in Bangkok,on the website,city,website,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,1400.4,seemed,NA,NQ
19,29,120,115,fill,386.7,464.2,597.4000000000001,619.3,468.3,I got to see,the biggest,Mosque minaret,"in Turkey,",so I really enjoyed it.,0,FILL,FILL,FILL,in Turkey,in Antalya,city,country,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",1958.5,NA,NA,NQ
39,25,1,61,fill,461.3,378.8,311.5,396,437.8,I climbed,the tallest,building,"in New York,",so I'm glad I went.,0,FILL,FILL,FILL,in New York,in the US,country,city,"I'm just back from a well-earned break in the US. I'm really pleased! Allegedly,",2345,NA,NA,NQ
39,25,2,15,exp,445.40000000000003,447.2,353.1,533.1,680.9,Every,town,in the blog,"looked pretty,",so I had some deciding to do.,0,INT-MAX,MAX,INT,in Peru,in the blog,country,blog,I was reading a blog to get some ideas for pretty towns to explore in Peru and other countries.,3014.5,looked,NA,NQ
39,25,3,27,exp,403.1,345,432.3,511.8,579.3000000000001,Every,cabin,on the website,"looked peaceful,",so I didn't know what to do.,1,INT-MAX,MAX,INT,in Poland,on the website,country,website,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,3428.7999999999997,looked,1819.1999999999998,1
39,25,4,120,fill,384.29999999999995,412.7,491.4,412.1,729.4000000000001,I took,the most indirect,train journey,"in South Africa,",so I made some nice memories.,0,FILL,FILL,FILL,in South Africa,in Cape Town,city,country,"I got home yesterday from a short vacation in Cape Town. You won't believe it! According to my friends,",2176.7,NA,NA,NQ
39,25,5,26,exp,527.1,348.5,365,379.40000000000003,474.6,Every,bar,seemed lively,"in Prague,",so I didn't know what to do.,0,EXT-MEN,MEN,EXT,in Prague,in the brochure,city,brochure,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,3034.6000000000004,seemed,NA,NQ
39,25,6,53,exp,402.7,378.09999999999997,414.5,431.90000000000003,601.8,Every,rollercoaster,looked thrilling,"in the vlog,",so I knew just where to go.,1,EXT-MAX,MAX,EXT,in Belgium,in the vlog,country,vlog,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,4324.5,looked,1350.7,1
39,25,7,112,fill,409.1,389,701.9,401.6,428.9,I ate,the best,sushi,"in Japan,",so I really enjoyed it.,0,FILL,FILL,FILL,in Japan,in Kyoto,city,country,"I'm just back from a week-long trip in Kyoto. I'm really pleased! According to my friends,",3193.2999999999997,NA,NA,NQ
39,25,8,115,fill,376.90000000000003,484.5,1067.3999999999999,545.9000000000001,435.09999999999997,I got to see,the biggest,Mosque minaret,"in Turkey,",so I really enjoyed it.,0,FILL,FILL,FILL,in Turkey,in Antalya,city,country,"I'm just back from a short vacation in Antalya. I'm really pleased! According to locals,",3270,NA,NA,NQ
39,25,9,32,exp,562.6,312.2,593.5,393.1,497.59999999999997,Every,apartment,in Madrid,"seemed wonderful,",so I booked straightaway.,1,INT-MEN,MEN,INT,in Madrid,on the website,city,website,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,2301.8999999999996,seemed,1388.1,1
