Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,RestrictorType,Context,ContextRT,LOOK_SEEM,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,Condition,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
37,NA,30,13,416,308.5,463,NA,416.2,Every,campsite,"looked picturesque,",NA,so I had some deciding to do.,1,NIL,I was watching a vlog for inspiration for picturesque campsites to try out in Germany and other countries.,2210.2,looked,678.5,1,335.6933135534922,392.29446508428,425.9815067079464,NA,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.125296673952194,6,6.030685260261263,5.731721843345443,6.137727054086234,NA,6.031165913959534,80.3066864465078,-83.79446508427998,37.01849329205362,NA,-60.93437564499459,0.20586950978019658,-0.21878837405930351,0.10313997677636788,NA,-0.09413075999265974,NIL,NA,NA,463,6.137727054086234,NA,NA,425.9815067079464,6.034587077309866,NA,NA,37.01849329205362,0.10313997677636788,-60.93437564499459,-0.09413075999265974
37,NA,31,36,355,282.3,430.6,383.7999999999999,351.1,Every,place,in Los Angeles,"seemed awesome,",so I booked straightaway.,1,SUB,I was flicking through a holiday brochure to find awesome places to visit in Los Angeles and other cities.,2526.9,seemed,919.6,1,335.6933135534922,392.29446508428,450.97846233230115,409.7019203646373,402.1435087719302,5.824815750481067,5.950510217404746,6.089632757569578,5.967033617148847,5.96015963317306,2,5.872117789475416,5.642970335259443,6.065179584930263,5.950121583573599,5.861071083174386,19.306686446507797,-109.99446508427997,-20.378462332301126,-25.90192036463742,-51.04350877193019,0.04730203899434926,-0.3075398821453028,-0.02445317263931468,-0.016912033575247953,-0.09908854999867334,SUB,430.6,6.065179584930263,383.7999999999999,5.950121583573599,450.97846233230115,6.089632757569578,409.7019203646373,5.967033617148847,-20.378462332301126,-0.02445317263931468,-25.90192036463742,-0.016912033575247953,-51.04350877193019,-0.09908854999867334
37,NA,32,50,419.9,295.20000000000005,402,448.2,456.5,Every,temple,in the blog,"seemed fantastic,",so I knew just where to go.,1,MAX,I was reading a blog to get some ideas for fantastic temples to explore in Sydney and other cities.,2675.9,seemed,1199.5,1,335.6933135534922,392.29446508428,450.97846233230115,409.7019203646373,477.1343756449946,5.824815750481067,5.950510217404746,6.089632757569578,5.967033617148847,6.125296673952194,3,6.040016587690148,5.687653092726317,5.996452088619021,6.105239561366827,6.1235887000350235,84.20668644650777,-97.09446508427993,-48.97846233230115,38.49807963536267,-20.634375644994577,0.215200837209081,-0.2628571246784288,-0.09318066895055654,0.1382059442179795,-0.001707973917170591,MAX,402,5.996452088619021,448.2,6.105239561366827,450.97846233230115,6.089632757569578,409.7019203646373,5.967033617148847,-48.97846233230115,-0.09318066895055654,38.49807963536267,0.1382059442179795,-20.634375644994577,-0.001707973917170591
37,NA,33,51,376.9,334,412,380.4,479.4,Every,brewery,in Canada,"looked exclusive,",so I knew just where to go.,1,SUB,I was flicking through a holiday brochure to find exclusive breweries to visit in Canada and other countries.,2350,looked,779,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,6.125296673952194,3,5.93197990027309,5.811140992976701,6.021023349349527,5.941223330671235,6.172535322000284,41.206686446507774,-58.29446508427998,-13.98150670794638,-29.30192036463734,2.2656243550054,0.10716414979202327,-0.13936922442804534,-0.013563727960339556,-0.025810286477612188,0.04723864804808997,SUB,412,6.021023349349527,380.4,5.941223330671235,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,-13.98150670794638,-0.013563727960339556,-29.30192036463734,-0.025810286477612188,2.2656243550054,0.04723864804808997
37,NA,36,1,481,346.1,511.1,NA,458.8,Every,beach,"looked beautiful,",NA,so I booked straightaway.,1,NIL,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,1724.3,looked,640.5,1,335.6933135534922,392.29446508428,425.9815067079464,NA,402.1435087719302,5.824815750481067,5.950510217404746,6.034587077309866,NA,5.96015963317306,4,6.175867270105761,5.846727750641299,6.236565265774234,NA,6.128614385255216,145.3066864465078,-46.194465084279955,85.11849329205364,NA,56.6564912280698,0.3510515196246944,-0.10378246676344727,0.2019781884643681,NA,0.1684547520821562,NIL,NA,NA,511.1,6.236565265774234,NA,NA,425.9815067079464,6.034587077309866,NA,NA,85.11849329205364,0.2019781884643681,56.6564912280698,0.1684547520821562
37,NA,39,48,415.1,333.2,501.4,395.7,431.3,Every,castle,in Istanbul,"seemed well-maintained,",so I had some deciding to do.,1,SUB,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,1981,seemed,718.1999999999999,1,335.6933135534922,392.29446508428,425.9815067079464,434.6988759889921,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,6.022079297408559,6.125296673952194,7,6.028519455058993,5.808742910292688,6.217404185724193,5.980656348391379,6.066803903653797,79.40668644650782,-59.09446508427999,75.4184932920536,-38.9988759889921,-45.834375644994566,0.20370370457792664,-0.1417673071120582,0.1828171084143264,-0.041422949017180244,-0.058492770298396835,SUB,501.4,6.217404185724193,395.7,5.980656348391379,425.9815067079464,6.034587077309866,434.6988759889921,6.022079297408559,75.4184932920536,0.1828171084143264,-38.9988759889921,-0.041422949017180244,-45.834375644994566,-0.058492770298396835
37,NA,42,10,418.7,376.7,416.6,NA,468.8,Every,canal,"seemed lovely,",NA,so there was plenty of choice.,0,NIL,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,1464.5,seemed,1819.5,1,335.6933135534922,392.29446508428,425.9815067079464,NA,452.1374200206398,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.070250993692483,4,6.037154673025098,5.931449114697996,6.032126528826872,NA,6.1501762382628025,83.00668644650779,-15.594465084279989,-9.381506707946357,NA,16.662579979360203,0.2123389225440313,-0.019061102706750432,-0.0024605484829942625,NA,0.0799252445703198,NIL,NA,NA,416.6,6.032126528826872,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-9.381506707946357,-0.0024605484829942625,16.662579979360203,0.0799252445703198
37,NA,45,40,568.4,271.8,422.5,NA,380.5,Every,garden,"seemed colourful,",NA,so there was plenty of choice.,1,NIL,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,3009.3,seemed,1144.6,1,335.6933135534922,392.29446508428,425.9815067079464,NA,452.1374200206398,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.070250993692483,5,6.3428253962229455,5.605066501717044,6.046189446797229,NA,5.941486177301741,232.70668644650777,-120.49446508427997,-3.48150670794638,NA,-71.63742002063981,0.5180096457418788,-0.3454437156877024,0.011602369487362374,NA,-0.128764816390742,NIL,NA,NA,422.5,6.046189446797229,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-3.48150670794638,0.011602369487362374,-71.63742002063981,-0.128764816390742
37,NA,47,52,379.6,429.4,377.5,NA,292.3,Every,lodge,"seemed inexpensive,",NA,so I knew just where to go.,1,NIL,I was on a website trying to find inexpensive lodges to stay at in Bangkok and other cities.,2325.5,seemed,878.1999999999999,1,335.6933135534922,392.29446508428,425.9815067079464,NA,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.125296673952194,5,5.939118066735773,6.062388885444681,5.933570568689079,NA,5.6777806721172,43.90668644650782,37.10553491572,-48.48150670794638,NA,-184.83437564499457,0.11430231625470633,0.1118786680399344,-0.10101650862078682,NA,-0.44751600183499374,NIL,NA,NA,377.5,5.933570568689079,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-48.48150670794638,-0.10101650862078682,-184.83437564499457,-0.44751600183499374
37,NA,51,9,363.7000000000001,348.1,298.8,390.7,382.6,Every,view,in Japan,"looked breathtaking,",so there was plenty of choice.,1,SUB,I was on a travel app researching breathtaking views to enjoy in Japan and other countries.,2057.7999999999997,looked,878.4,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,452.1374200206398,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,6.070250993692483,6,5.896329351992944,5.8524897948173935,5.699774453258662,5.967940002061025,5.946990057006152,28.0066864465079,-44.194465084279955,-127.18150670794637,-19.00192036463733,-69.53742002063979,0.07151360151187713,-0.09802042258735266,-0.33481262405120393,9.06384912177316e-4,-0.12326093668633042,SUB,298.8,5.699774453258662,390.7,5.967940002061025,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,-127.18150670794637,-0.33481262405120393,-19.00192036463733,9.06384912177316e-4,-69.53742002063979,-0.12326093668633042
37,NA,52,6,319.6,436.2,233.3,324.6,404.2,Every,monument,in Edinburgh,"seemed interesting,",so I booked straightaway.,1,SUB,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,2209,seemed,706.6,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,402.1435087719302,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,5.96015963317306,5,5.7670702138921195,6.078100853767529,5.452325179027384,5.782593655080491,6.001909804969521,-16.09331355349218,43.90553491572001,-192.68150670794637,-85.1019203646373,2.056491228069774,-0.05774553658894721,0.12759063636278256,-0.5822618982824821,-0.18443996206835678,0.04175017179646101,SUB,233.3,5.452325179027384,324.6,5.782593655080491,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,-192.68150670794637,-0.5822618982824821,-85.1019203646373,-0.18443996206835678,2.056491228069774,0.04175017179646101
37,NA,53,37,520.8000000000001,268.8,333.1,NA,443.7999999999999,Every,villa,"looked stunning,",NA,so there was plenty of choice.,1,NIL,I was on a website trying to find stunning villas to stay at in Egypt and other countries.,2026.4,looked,698.9,1,335.6933135534922,392.29446508428,425.9815067079464,NA,452.1374200206398,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.070250993692483,6,6.25536609089436,5.5939676086489944,5.808442745199634,NA,6.095374010498493,185.10668644650787,-123.49446508427997,-92.88150670794636,NA,-8.337420020639911,0.4305503404132933,-0.3565426087557517,-0.22614433211023233,NA,0.02512301680601059,NIL,NA,NA,333.1,5.808442745199634,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-92.88150670794636,-0.22614433211023233,-8.337420020639911,0.02512301680601059
37,NA,54,46,554.1,263.40000000000003,354,NA,384.9,Every,theatre,"seemed historic,",NA,so I had some deciding to do.,1,NIL,I was flicking through a holiday brochure to find historic theatres to visit in Berlin and other cities.,1658.1999999999998,seemed,820.3000000000001,1,335.6933135534922,392.29446508428,425.9815067079464,NA,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,NA,6.125296673952194,6,6.317345175873304,5.573673789309181,5.869296913133774,NA,5.9529835602897005,218.40668644650782,-128.89446508427994,-71.98150670794638,NA,-92.2343756449946,0.4925294253922372,-0.37683642809556517,-0.165290164176092,NA,-0.17231311366249358,NIL,NA,NA,354,5.869296913133774,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-71.98150670794638,-0.165290164176092,-92.2343756449946,-0.17231311366249358
37,NA,55,27,321.29999999999995,316.40000000000003,516,287.1,385.4,Every,cabin,in Poland,"looked peaceful,",so I didn't know what to do.,1,SUB,I was on a website trying to find peaceful cabins to stay at in Poland and other countries.,1989.3,looked,586.8,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,502.1313312693494,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,6.180342354211906,7,5.772375266121813,5.757007235893499,6.246106765481563,5.6598305871270185,5.954281755980266,-14.393313553492249,-75.89446508427994,90.01849329205362,-122.6019203646373,-116.73133126934943,-0.05244048435925386,-0.193502981511247,0.21151968817169653,-0.3072030300218289,-0.2260605982316397,SUB,516,6.246106765481563,287.1,5.6598305871270185,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,90.01849329205362,0.21151968817169653,-122.6019203646373,-0.3072030300218289,-116.73133126934943,-0.2260605982316397
37,NA,56,3,307.59999999999997,282,351.3,317.3,334.9,Every,restaurant,in Italy,"looked fancy,",so I booked straightaway.,1,SUB,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2178.5,looked,567.3000000000001,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,402.1435087719302,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,5.96015963317306,8,5.728800237631488,5.641907070938114,5.861640559271781,5.75984769858915,5.813831979800159,-28.093313553492237,-110.29446508427998,-74.68150670794637,-92.4019203646373,-67.24350877193024,-0.09601551284957832,-0.30860314646663234,-0.17294651803808492,-0.2071859185596976,-0.146327653372901,SUB,351.3,5.861640559271781,317.3,5.75984769858915,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,-74.68150670794637,-0.17294651803808492,-92.4019203646373,-0.2071859185596976,-67.24350877193024,-0.146327653372901
37,NA,58,4,322.90000000000003,278.4,347.7,NA,461.7,Every,park,"seemed nice,",NA,so I booked straightaway.,1,NIL,I was on a travel app researching nice parks to enjoy in Newcastle and other cities.,1671.7,seemed,1274.6,1,335.6933135534922,392.29446508428,425.9815067079464,NA,402.1435087719302,5.824815750481067,5.950510217404746,6.034587077309866,NA,5.96015963317306,7,5.77734267776423,5.629058928460265,5.851340039013816,NA,6.1349153295129435,-12.793313553492169,-113.89446508428,-78.28150670794639,NA,59.556491228069774,-0.047473072716837095,-0.3214512889444814,-0.1832470382960505,NA,0.17475569633988375,NIL,NA,NA,347.7,5.851340039013816,NA,NA,425.9815067079464,6.034587077309866,NA,NA,-78.28150670794639,-0.1832470382960505,59.556491228069774,0.17475569633988375
37,NA,63,59,398.9,193.6,479.1,345.3,418.5,Every,trek,on the app,"looked challenging,",so I didn't know what to do.,1,MAX,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,2156.4,looked,1016.8,1,335.6933135534922,392.29446508428,450.97846233230115,409.7019203646373,502.1313312693494,5.824815750481067,5.950510217404746,6.089632757569578,5.967033617148847,6.180342354211906,8,5.988710758911361,5.265794174842477,6.171909343889077,5.844413604395947,6.03667688992953,63.206686446507774,-198.69446508427998,28.121537667698874,-64.4019203646373,-83.6313312693494,0.16389500843029392,-0.6847160425622691,0.08227658631949897,-0.12262001275290046,-0.1436654642823756,MAX,479.1,6.171909343889077,345.3,5.844413604395947,450.97846233230115,6.089632757569578,409.7019203646373,5.967033617148847,28.121537667698874,0.08227658631949897,-64.4019203646373,-0.12262001275290046,-83.6313312693494,-0.1436654642823756
37,NA,64,20,348.6,296.20000000000005,450.6,415.5,361.1,Every,church,in the blog,"seemed ornate,",so I knew just where to go.,1,MAX,I was reading a blog to get some ideas for ornate churches to explore in Belfast and other cities.,1867,seemed,790,1,335.6933135534922,392.29446508428,450.97846233230115,409.7019203646373,477.1343756449946,5.824815750481067,5.950510217404746,6.089632757569578,5.967033617148847,6.125296673952194,6,5.85392513308592,5.6910349018336985,6.110580027998144,6.029482614295503,5.889154928283412,12.90668644650782,-96.09446508427993,-0.378462332301126,5.798079635362683,-116.03437564499455,0.02910938260485363,-0.25947531557104764,0.020947270428566256,0.06244899714665575,-0.23614174566878177,MAX,450.6,6.110580027998144,415.5,6.029482614295503,450.97846233230115,6.089632757569578,409.7019203646373,5.967033617148847,-0.378462332301126,0.020947270428566256,5.798079635362683,0.06244899714665575,-116.03437564499455,-0.23614174566878177
37,NA,65,57,333.3,351.2,581.4,415.1,345,Every,farm,in Greece,"looked eco-friendly,",so I didn't know what to do.,1,SUB,I was on a website trying to find eco-friendly farms to stay at in Greece and other countries.,1860.8,looked,573.6999999999999,1,335.6933135534922,392.29446508428,425.9815067079464,434.6988759889921,502.1313312693494,5.824815750481067,5.950510217404746,6.034587077309866,6.022079297408559,6.180342354211906,8,5.8090429853136945,5.861355861760962,6.365438988124776,6.028519455058993,5.84354441703136,-2.3933135534921917,-41.09446508427999,155.4184932920536,-19.598875988992063,-157.1313312693494,-0.01577276516737225,-0.08915435564378438,0.3308519108149097,0.006440157650434486,-0.3367979371805454,SUB,581.4,6.365438988124776,415.1,6.028519455058993,425.9815067079464,6.034587077309866,434.6988759889921,6.022079297408559,155.4184932920536,0.3308519108149097,-19.598875988992063,0.006440157650434486,-157.1313312693494,-0.3367979371805454
37,NA,66,18,323.7,350,402.6,367.4,348,Every,café,in Glasgow,"seemed cute,",so I had some deciding to do.,1,SUB,I was watching a vlog for inspiration for cute cafés to try out in Glasgow and other cities.,1817.8,seemed,572.8,1,335.6933135534922,392.29446508428,425.9815067079464,409.7019203646373,477.1343756449946,5.824815750481067,5.950510217404746,6.034587077309866,5.967033617148847,6.125296673952194,9,5.779817160932199,5.857933154483459,5.9979435132056915,5.906451172781026,5.8522024797744745,-11.993313553492214,-42.29446508427998,-23.381506707946357,-42.30192036463734,-129.13437564499458,-0.04499858954886804,-0.0925770629212872,-0.036643564104174686,-0.060582444367821786,-0.27309419417771963,SUB,402.6,5.9979435132056915,367.4,5.906451172781026,425.9815067079464,6.034587077309866,409.7019203646373,5.967033617148847,-23.381506707946357,-0.036643564104174686,-42.30192036463734,-0.060582444367821786,-129.13437564499458,-0.27309419417771963
