Participant,Age,AgeOfMachine,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,Browser,CompAcc,RestrictorType,MENRestr,MAXRestr,MENRestrType,MAXRestrType,Context,ContextRT,SubNP,RestrPP,LOOK_SEEM,CompRT,has_comp
12,30,NA,78,69,fill,802.8,410.1,409.6,400.9,438.90000000000003,I was able to take photos of,the rarest,bird,"in Aberdeen,",so I made some nice memories.,Chrome,1,FILL,in Aberdeen,in Scotland,country,city,"I got home yesterday from a great holiday in Scotland. You won't believe it! Allegedly,",1789.1,the rarest,NA,NA,901.1,1
12,30,NA,79,48,exp,403.9,274.4,319.2,NA,417.8,Every,castle,"seemed well-maintained,",NA,so I had some deciding to do.,Chrome,1,NIL,in Istanbul,in the vlog,city,vlog,I was watching a vlog for inspiration for well-maintained castles to try out in Istanbul and other cities.,3038.7,castle,NIL,seemed,582.0999999999999,1
12,30,NA,80,11,exp,375.40000000000003,329.29999999999995,346.1,332,445.79999999999995,Every,village,in Slovenia,"looked quaint,",so there was plenty of choice.,Chrome,1,MEN,in Slovenia,in the brochure,country,brochure,I was flicking through a holiday brochure to find quaint vilages to visit in Slovenia and other countries.,3109.1000000000004,village,in Slovenia,looked,1179.5,1
12,30,NA,81,106,fill,611.4000000000001,386.40000000000003,536.2,378.8,715,I did,the most difficult,trek,"in Brazil,",so it was a lovely time.,Chrome,1,FILL,in Brazil,in Rio de Janeiro,city,country,"I'm just back from a well-earned break in Rio de Janeiro. I'm really pleased! Apparently,",2080.2999999999997,the most difficult,NA,NA,2229.9,1
12,30,NA,82,101,fill,597.0999999999999,508.8,487.59999999999997,410.1,641.1,I took a boat trip on,the deepest,lake,"in China,",so I made some nice memories.,Chrome,1,FILL,in China,in Beijing,city,country,"I've just returned from a well-earned break in Beijing. I was really shocked. Allegedly,",1339.3,the deepest,NA,NA,872.1999999999999,1
12,30,NA,83,22,exp,336.6,321.7,261.7,513.9,772.2,Every,cottage,on the website,"seemed charming,",so I knew just where to go.,Chrome,1,MAX,in Durham,on the website,city,website,I was on a website trying to find charming cottages to stay at in Durham and other cities.,3410.1,cottage,on the website,seemed,923.2,1
12,30,NA,84,94,fill,526.3,880.3,787.1,746.8000000000001,604.1,I paraglided over,the most beautiful,spot,"in Germany,",so it was a lovely time.,Chrome,1,FILL,in Germany,in Frankfurt,city,country,"I'm just back from a great holiday in Frankfurt. I'm really pleased! Apparently,",1382.2,the most beautiful,NA,NA,922.8,1
12,30,NA,85,88,fill,505,466.7,586.3000000000001,400.9,502.2,I got to stay in,the least well-known,area,"in Swansea,",so I made some nice memories.,Chrome,1,FILL,in Swansea,in Wales,country,city,"I'm just back from a lovely two-week stay in Wales. I'm really pleased! According to my friends,",1235.9,the least well-known,NA,NA,12096.9,1
12,30,NA,86,80,fill,496.09999999999997,834.2,503.09999999999997,826.4,1001.4000000000001,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,Chrome,1,FILL,in Bogotá,in Colombia,country,city,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",2701.2999999999997,the tastiest,NA,NA,1247.6000000000001,1
12,30,NA,87,38,exp,342.1,359.9,419.09999999999997,422.20000000000005,445.5,Every,pub,in Perth,"seemed cosy,",so there was plenty of choice.,Chrome,1,MEN,in Perth,in the vlog,city,vlog,I was watching a vlog for inspiration for cosy pubs to try out in Perth and other cities.,2917.8,pub,in Perth,seemed,697.9,1
