Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
14,29,20,43,1034.1,183.6,430.9,603.8,1052.8,Every,delicacy,looked tasty,"in Venezuela,",so I had some deciding to do.,0,EXT-SUB,SUB,EXT,I was watching a vlog for inspiration for tasty delicacies to try out in Venezuela and other countries.,3502.9,looked,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,855.5029772517664,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.364345234959916,3,6.941286762190929,5.21275947818639,6.065876044621792,6.403243017272739,6.959208560571053,453.4169447006202,-256.011085493731,112.53695921713427,225.71904156846762,197.29702274823353,1.000232085814667,-0.4549005668363204,0.2483412992578744,0.5214000558609992,0.5948633256111373,603.8,6.403243017272739,430.9,6.065876044621792,378.08095843153234,5.881842961411739,318.3630407828657,5.8175347453639175,225.71904156846762,0.5214000558609992,112.53695921713427,0.2483412992578744,197.29702274823353,0.5948633256111373
14,29,21,39,539.3,251.4,447.4,423.2000000000001,684.8,Every,lake,looked pristine,"in Australia,",so there was plenty of choice.,0,EXT-SUB,SUB,EXT,I was on a travel app researching pristine lakes to enjoy in Australia and other countries.,3149.7000000000003,looked,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,930.3173537247654,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.3499495452668935,2,6.2902720023431815,5.527045296156147,6.1034530490560295,6.04784488054409,6.529126824827532,-41.38305529937975,-188.21108549373102,129.03695921713427,45.119041568467765,-245.51735372476548,0.34921732596691957,-0.14061474886656367,0.285918303692112,0.1660019191323503,0.17917727956063878,423.2000000000001,6.04784488054409,447.4,6.1034530490560295,378.08095843153234,5.881842961411739,318.3630407828657,5.8175347453639175,45.119041568467765,0.1660019191323503,129.03695921713427,0.285918303692112,-245.51735372476548,0.17917727956063878
14,29,25,30,253.5,187.9,188.5,330.90000000000003,403.2,Every,square,seemed busy,"in the blog,",so I didn't know what to do.,0,EXT-MAX,MAX,EXT,I was reading a blog to get some ideas for busy squares to explore in Florence and other cities.,1958.5,seemed,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,303.26658195853344,780.6886007787675,5.941054676376262,5.667660045022711,5.8175347453639175,5.8962386511047615,6.378740924652937,2,5.535363823031238,5.23590990641942,5.2390980068880655,5.801816214927567,5.999432716757159,-327.1830552993797,-251.71108549373102,-129.8630407828657,27.633418041466598,-377.48860077876753,-0.40569085334502386,-0.4317501386032907,-0.578436738475852,-0.09442243617719459,-0.3793082078957779,330.90000000000003,5.801816214927567,188.5,5.2390980068880655,303.26658195853344,5.8962386511047615,318.3630407828657,5.8175347453639175,27.633418041466598,-0.09442243617719459,-129.8630407828657,-0.578436738475852,-377.48860077876753,-0.3793082078957779
14,29,26,10,826.3000000000001,347.8,253.1,449.2999999999999,697,Every,canal,seemed lovely,"in the blog,",so there was plenty of choice.,0,EXT-MAX,MAX,EXT,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,4180.5,seemed,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,303.26658195853344,930.3173537247654,5.941054676376262,5.667660045022711,5.8175347453639175,5.8962386511047615,6.3499495452668935,3,6.716957903707139,5.851627601920183,5.533784667551078,6.107690816076114,6.546785410760524,245.61694470062037,-91.81108549373101,-65.26304078286572,146.03341804146646,-233.31735372476544,0.7759032273308772,0.18396755689747213,-0.28375007781283923,0.21145216497135255,0.19683586549363064,449.2999999999999,6.107690816076114,253.1,5.533784667551078,303.26658195853344,5.8962386511047615,318.3630407828657,5.8175347453639175,146.03341804146646,0.21145216497135255,-65.26304078286572,-0.28375007781283923,-233.31735372476544,0.19683586549363064
14,29,28,41,297.4,116.2,163,312.90000000000003,549.4,Every,waterfall,in Slovakia,"looked gorgeous,",so there was plenty of choice.,1,INT-SUB,SUB,INT,I was flicking through a holiday brochure to find gorgeous waterfalls to visit in Slovakia and other countries.,2593.1000000000004,looked,2428.6,1,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,930.3173537247654,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.3499495452668935,2,5.6950780340260545,4.755312844417811,5.093750200806762,5.745883650674837,6.308826773661173,-283.2830552993797,-323.41108549373104,-155.3630407828657,-65.1809584315323,-380.91735372476546,-0.24597664235020744,-0.9123472006048994,-0.7237845445571551,-0.1359593107369026,-0.04112277160572031,163,5.093750200806762,312.90000000000003,5.745883650674837,318.3630407828657,5.8175347453639175,378.08095843153234,5.881842961411739,-155.3630407828657,-0.7237845445571551,-65.1809584315323,-0.1359593107369026,-380.91735372476546,-0.04112277160572031
14,29,30,21,454.2,316.3,147.9,329.79999999999995,250.7,Every,building,in Switzerland,"looked unique,",so I knew just where to go.,0,INT-SUB,SUB,INT,I was flicking through a holiday brochure to find unique buildings to visit in Switzerland and other countries.,9435.8,looked,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,855.5029772517664,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.364345234959916,3,6.118537629671458,5.756691130311603,4.996536369716754,5.7984864101254985,5.524257005164247,-126.48305529937971,-123.31108549373101,-170.4630407828657,-48.28095843153238,-604.8029772517664,0.17748295329519603,0.0890310852888927,-0.8209983756471635,-0.08335655128624087,-0.8400882297956684,147.9,4.996536369716754,329.79999999999995,5.7984864101254985,318.3630407828657,5.8175347453639175,378.08095843153234,5.881842961411739,-170.4630407828657,-0.8209983756471635,-48.28095843153238,-0.08335655128624087,-604.8029772517664,-0.8400882297956684
14,29,32,6,346.2,161.6,163.89999999999998,163.6,549.8,Every,monument,seemed interesting,"in the brochure,",so I booked straightaway.,1,EXT-MAX,MAX,EXT,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,2249.8999999999996,seemed,1861.1,1,580.6830552993797,439.611085493731,318.3630407828657,303.26658195853344,1079.9461066707634,5.941054676376262,5.667660045022711,5.8175347453639175,5.8962386511047615,6.32115816588085,4,5.847016642742108,5.085124146086995,5.099256485749784,5.097424424168647,6.309554575731145,-234.4830552993797,-278.011085493731,-154.46304078286573,-139.66658195853344,-530.1461066707634,-0.09403803363415353,-0.5825358989357152,-0.7182782596141335,-0.7988142269361145,-0.011603590149705134,163.6,5.097424424168647,163.89999999999998,5.099256485749784,303.26658195853344,5.8962386511047615,318.3630407828657,5.8175347453639175,-139.66658195853344,-0.7988142269361145,-154.46304078286573,-0.7182782596141335,-530.1461066707634,-0.011603590149705134
14,29,34,12,350.1,184,150,271.7,517.4,Every,B&B,on the website,"seemed cheap,",so there was plenty of choice.,0,INT-MAX,MAX,INT,I was on a website trying to find cheap B&Bs to stay at in Cardiff and other cities.,1370,seemed,NA,NQ,580.6830552993797,364.796709020732,243.5486643098668,378.08095843153234,930.3173537247654,5.941054676376262,5.682055734715732,5.83193043505694,5.881842961411739,6.3499495452668935,6,5.85821882796062,5.214935757608986,5.0106352940962555,5.604698516432302,6.248816269751929,-230.58305529937968,-180.796709020732,-93.54866430986681,-106.38095843153235,-412.91735372476546,-0.082835848415641955,-0.467119977106746,-0.8212951409606841,-0.27714444497943713,-0.10113327551496454,150,5.0106352940962555,271.7,5.604698516432302,243.5486643098668,5.83193043505694,378.08095843153234,5.881842961411739,-93.54866430986681,-0.8212951409606841,-106.38095843153235,-0.27714444497943713,-412.91735372476546,-0.10113327551496454
14,29,37,5,1920.5,546.6,654.5,682.9,2335.2,Every,market,in Scotland,"looked exciting,",so I booked straightaway.,0,INT-SUB,SUB,INT,I was reading a blog to get some ideas for exciting markets to explore in Scotland and other countries.,5853.3,looked,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,1079.9461066707634,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.32115816588085,4,7.56034084778596,6.303717273493968,6.483871585349955,6.526348435967043,7.755852819539905,1339.8169447006203,106.988914506269,336.1369592171343,304.81904156846764,1255.2538933292365,1.6192861714096978,0.6360572284712571,0.6663368399860374,0.644505474555304,1.4346946536590552,654.5,6.483871585349955,682.9,6.526348435967043,318.3630407828657,5.8175347453639175,378.08095843153234,5.881842961411739,336.1369592171343,0.6663368399860374,304.81904156846764,0.644505474555304,1255.2538933292365,1.4346946536590552
14,29,38,35,216.5,263.5,169.5,380.9,449.5,Every,palace,looked opulent,"in Sweden,",so I booked straightaway.,0,EXT-SUB,SUB,EXT,I was reading a blog to get some ideas for opulent palaces to explore in Sweden and other countries.,3429.5,looked,NA,NQ,580.6830552993797,439.611085493731,318.3630407828657,378.08095843153234,1079.9461066707634,5.941054676376262,5.667660045022711,5.8175347453639175,5.881842961411739,6.32115816588085,5,5.377590547442544,5.574053367981417,5.1328529268205045,5.942536873484558,6.108135853911675,-364.1830552993797,-176.11108549373103,-148.8630407828657,2.8190415684676395,-630.4461066707634,-0.5634641289337177,-0.09360667704129355,-0.6846818185434129,0.06069391207281871,-0.21302231196917543,380.9,5.942536873484558,169.5,5.1328529268205045,378.08095843153234,5.881842961411739,318.3630407828657,5.8175347453639175,2.8190415684676395,0.06069391207281871,-148.8630407828657,-0.6846818185434129,-630.4461066707634,-0.21302231196917543
