Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp
23,32,88,73,fill,434.59999999999997,248.79999999999998,600.1,327.2,422.8,I got to experience,the heaviest,snow to ever fall,"in Moscow,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Russia. I'm really pleased! Allegedly,",1871.6,NA,NA,NA,NQ
23,32,89,108,fill,241.29999999999998,524.3,355.5,481.9,533.5,I ordered,the most alcoholic,cocktail,"in Switzerland,",so I really enjoyed it.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Zürich. You won't believe it! According to my friends,",2392.3999999999996,NA,NA,NA,NQ
23,32,90,37,exp,315.3,259.40000000000003,286.6,328.2,434.7,Every,villa,in Australia,"looked stunning,",so I booked straightaway.,0,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find stunning villas to stay at in Egypt and other countries.,2748.6000000000004,looked,stunning,NA,NQ
23,32,91,51,exp,588.3000000000001,287,220.9,417.1,469.1,Every,brewery,looked exclusive,"in Belgium,",so I decided to go there.,0,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for exclusive breweries to visit in Canada and other countries.,3941,looked,exclusive,NA,NQ
23,32,92,27,exp,348.7,333.1,181.9,290.7,306.90000000000003,Every,cabin,looked peaceful,"in Hungary,",so I booked straightaway.,1,EXT-NEM,NEM,EXT,I was watching a vlog for inspiration for peaceful cabins to stay at in Poland and other countries.,2318.2,looked,peaceful,1281.9,1
23,32,93,22,exp,349,221.1,294.4,398.9,556.1,Every,cottage,seemed charming,"in Durham,",so I booked straightaway.,1,EXT-EM,EM,EXT,I was on a travel app researching charming cottages to stay at in Durham and other cities.,2367.5,seemed,charming,1415.7,1
23,32,94,53,exp,439,265.5,465.4,493.9,603.9,Every,rollercoaster,in Austria,"looked thrilling,",so there was plenty of choice.,1,INT-NEM,NEM,INT,I was reading a blog to get some ideas for thrilling rollercoasters to try out in Belgium and other countries.,2267.3999999999996,looked,thrilling,1181.8,1
23,32,95,104,fill,703.4,274.6,743.8000000000001,644.5999999999999,381.90000000000003,I got a room at,the fanciest,boutique hotel,"in Australia,",so I made some nice memories.,1,FILL,FILL,FILL,"I've just returned from a great holiday in Perth. I was really shocked. According to my friends,",2037.3000000000002,NA,NA,865,1
23,32,96,41,exp,266.7,206.9,233.3,324.79999999999995,165.3,Every,waterfall,in Venezuela,"looked gorgeous,",so I decided to go there.,1,INT-NEM,NEM,INT,I was reading a blog to get some ideas for gorgeous waterfalls to visit in Slovakia and other countries.,2118.3999999999996,looked,gorgeous,1487,1
23,32,97,62,fill,578.2,432.2,602,1006.8999999999999,510.29999999999995,I experienced,the hottest,day on record,"in Bordeaux,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in France. I was really shocked. Apparently,",2727,NA,NA,NA,NQ
23,32,98,103,fill,298.9,432,298.5,310.2,518.2,I bought,the most fashionable,jacket,"in Russia,",so it was a lovely time.,1,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in St. Petersburg. I'm really pleased! According to locals,",1998.5,NA,NA,1310.5,1
23,32,99,71,fill,360.70000000000005,249.79999999999998,398.5,415.2,444.40000000000003,I was staying in,the most modern,appartment block,"in Shanghai,",so it was a lovely time.,1,FILL,FILL,FILL,"I've just returned from a well-earned break in China. I was really shocked. According to locals,",1490.8,NA,NA,732,1
23,32,100,1,exp,381.79999999999995,183.10000000000002,274.8,331.9,432.7,Every,beach,in Italy,"looked beautiful,",so I decided to go there.,1,INT-NEM,NEM,INT,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,4482.1,looked,beautiful,832,1
23,32,101,6,exp,383.7,182.10000000000002,258.1,334.2,659.1,Every,monument,seemed interesting,"in Edinburgh,",so I decided to go there.,1,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for interesting monuments to visit in Edinburgh and other cities.,2200.2000000000003,seemed,interesting,1149.5,1
23,32,102,14,exp,323.5,199.2,422,316.8,421.8,Every,tour,seemed relaxing,"in Budapest,",so I had some deciding to do.,1,EXT-EM,EM,EXT,I was on a website trying to find relaxing tours to enjoy in Budapest and other cities.,1300.6,seemed,relaxing,833.6,1
23,32,103,118,fill,420,274.3,287.8,332.1,508,I walked along,the straightest,canal path,"in Wales,",so I really enjoyed it.,0,FILL,FILL,FILL,"I'm just back from a lovely two-week stay in Bangor. I'm really pleased! Apparently,",1633.6999999999998,NA,NA,NA,NQ
23,32,104,58,exp,378.09999999999997,348.8,254.2,292.6,448.7,Every,bistro,seemed popular,"in Leeds,",so there was plenty of choice.,0,EXT-EM,EM,EXT,I was on a travel app researching popular bistros to try out in Leeds and other cities.,1548.8,seemed,popular,NA,NQ
23,32,105,40,exp,310.7,216.79999999999998,183.4,305.70000000000005,354,Every,garden,in Zagreb,"seemed colourful,",so I knew just where to go.,0,INT-EM,EM,INT,I was on a travel app researching colourful gardens to explore in Zagreb and other cities.,1719.5,seemed,colourful,NA,NQ
23,32,106,97,fill,337.2,200.2,886.7,315.59999999999997,437.3,I visited,the most historical,monument,"in Austria,",so it was a lovely time.,0,FILL,FILL,FILL,"I'm just back from a week-long trip in Salzburg. I'm really pleased! Allegedly,",1311.5,NA,NA,NA,NQ
23,32,107,56,exp,335.2,358.20000000000005,450.2,359.3,484.70000000000005,Every,statue,in New York,"seemed famous,",so I decided to go there.,0,INT-EM,EM,INT,I was on a website trying to find famous statues to visit in New York and other cities.,1500.3,seemed,famous,NA,NQ
23,32,108,72,fill,389.79999999999995,365.4,767.7,375.90000000000003,557.6999999999999,I tried,the spiciest,noodles you can find,"in Vancouver,",so I made some nice memories.,1,FILL,FILL,FILL,"I got home yesterday from a week-long trip in Canada. You won't believe it! According to my friends,",1902.6000000000001,NA,NA,2027.3,1
23,32,109,78,fill,282,211.5,394.4,273.2,499.8,I drank from,the most well-known,fountain,"in Bern,",so it was a lovely time.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Switzerland. You won't believe it! Apparently,",1456.1,NA,NA,NA,NQ
23,32,110,52,exp,344.9,194.70000000000002,265.2,315.40000000000003,365.5,Every,lodge,in Bangkok,"seemed inexpensive,",so I booked straightaway.,0,INT-EM,EM,INT,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,1765.8,seemed,inexpensive,NA,NQ
23,32,111,119,fill,493.5,748.7,534,374.40000000000003,539.5,I got to enjoy,the most remote,hot spring,"in Hungary,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a great holiday in Debrecen. I was really shocked. According to locals,",2328.3999999999996,NA,NA,NA,NQ
23,32,112,92,fill,326.1,269.2,383.40000000000003,369.7,454.2,I bathed in,the cleanest,sea,"in France,",so I really enjoyed it.,0,FILL,FILL,FILL,"I've just returned from a week-long trip in Nice. I was really shocked. According to my friends,",1898.6000000000001,NA,NA,NA,NQ
23,32,113,38,exp,684.3000000000001,248.70000000000002,206.2,281.2,504.2,Every,pub,seemed cosy,"in Perth,",so there was plenty of choice.,1,EXT-EM,EM,EXT,I was on a website trying to find cosy pubs to try out in Perth and other cities.,1722.9,seemed,cosy,1039.5,1
23,32,114,2,exp,365.4,173.3,317.7,303.3,398.8,Every,hostel,seemed quirky,"in London,",so I booked straightaway.,1,EXT-EM,EM,EXT,I was on a website trying to find quirky hostels to stay at in London and other cities.,2390,seemed,quirky,1976.6,1
23,32,115,93,fill,283.9,157.29999999999998,316.7,527.3,415.3,I took,the highest,helicopter ride,"in Italy,",so I'm glad I went.,0,FILL,FILL,FILL,"I got home yesterday from a lovely two-week stay in Milan. You won't believe it! Allegedly,",1700.3999999999999,NA,NA,NA,NQ
23,32,116,54,exp,225,216.4,190,254.6,527.4,Every,walk,seemed easy,"in Barcelona,",so I had some deciding to do.,0,EXT-EM,EM,EXT,I was checking out a guidebook to find suggestions for easy walks to enjoy in Barcelona and other cities.,2467.8,seemed,easy,NA,NQ
23,32,117,16,exp,324.2,218.79999999999998,304.4,331.9,439.59999999999997,Every,gallery,in Venice,"seemed high-end,",so I decided to go there.,1,INT-EM,EM,INT,I was on a travel app researching high-end galleries to visit in Venice and other cities.,1849.8000000000002,seemed,high-end,950.0999999999999,1
23,32,118,111,fill,240.3,274.4,308.59999999999997,341,459.3,I got to experience,the most vibrant,nightlife,"in Thailand,",so I made some nice memories.,0,FILL,FILL,FILL,"I got home yesterday from a well-earned break in Phuket. You won't believe it! According to locals,",1982.5,NA,NA,NA,NQ
23,32,119,100,fill,274.1,438.09999999999997,637.8000000000001,705,408.2,I arrived during,the best,time for skiing,"in Finland,",so I'm glad I went.,0,FILL,FILL,FILL,"I'm just back from a short vacation in Lapland. I'm really pleased! According to my friends,",1508.3,NA,NA,NA,NQ
23,32,120,7,exp,310.5,215.60000000000002,237.6,315.2,501.29999999999995,Every,museum,looked cool,"in Japan,",so I booked straightaway.,0,EXT-NEM,NEM,EXT,I was flicking through a holiday brochure to find cool museums to visit in Portugal and other countries.,1757.4,looked,cool,NA,NQ
35,26,1,25,exp,477.2,301,266.29999999999995,349.9,510.1,Every,river,looked soothing,"in Norway,",so I knew just where to go.,0,EXT-EM,EM,EXT,I was flicking through a holiday brochure to find soothing rivers to explore in Norway and other countries.,2231.6,looked,soothing,NA,NQ
35,26,2,29,exp,380.59999999999997,294.4,248.29999999999998,338.5,410.5,Every,shop,looked trendy,"in Hungary,",so I had some deciding to do.,0,EXT-EM,EM,EXT,I was reading a blog to get some ideas for trendy shops to enjoy in Hungary and other countries.,2205.6,looked,trendy,NA,NQ
35,26,3,95,fill,347.8,276.8,261.7,268.29999999999995,500,I went to,the very first,pub,"in England,",so I made some nice memories.,0,FILL,FILL,FILL,"I've just returned from a short vacation in Lancaster. I was really shocked. According to locals,",1878.1000000000001,NA,NA,NA,NQ
35,26,4,52,exp,408.3,245.7,264,391.2,544.4,Every,lodge,in Barcelona,"seemed inexpensive,",so I booked straightaway.,0,INT-NEM,NEM,INT,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,2348.5,seemed,inexpensive,NA,NQ
35,26,5,74,fill,449,325,312.90000000000003,422.3,509.8,I tasted,the most unique,beer,"in Melbourne,",so it was a lovely time.,0,FILL,FILL,FILL,"I've just returned from a great holiday in Australia. I was really shocked. Apparently,",1468,NA,NA,NA,NQ
35,26,6,48,exp,354.4,305.59999999999997,315.2,767.5,583.8,Every,castle,in Sydney,"seemed well-maintained,",so there was plenty of choice.,0,INT-NEM,NEM,INT,I was checking out a guidebook to find suggestions for well-maintained castles to try out in Istanbul and other cities.,2828.9,seemed,well-maintained,NA,NQ
35,26,7,16,exp,358.20000000000005,284.6,281.6,438.5,352.4,Every,gallery,in Glasgow,"seemed high-end,",so I decided to go there.,1,INT-NEM,NEM,INT,I was on a travel app researching high-end galleries to visit in Venice and other cities.,3109,seemed,high-end,1334.8999999999999,1
35,26,8,47,exp,859.7,364.09999999999997,317.8,372.09999999999997,467.9,Every,chalet,in Denmark,"looked pleasant,",so I booked straightaway.,1,INT-EM,EM,INT,I was reading a blog to get some ideas for pleasant chalets to stay at in Denmark and other countries.,3793.2999999999997,looked,pleasant,1262.6,1
35,26,9,46,exp,392.5,260.40000000000003,305.70000000000005,300.4,419.70000000000005,Every,theatre,seemed historic,"in Istanbul,",so I decided to go there.,0,EXT-NEM,NEM,EXT,I was on a travel app researching historic theatres to visit in Berlin and other cities.,2152,seemed,historic,NA,NQ
