Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,Condition,RestrictorType,RestrictorPosition,Context,ContextRT,LOOK_SEEM,Adj,CompRT,has_comp,C1.PRED,C2.PRED,C3.PRED,C4.PRED,SPILL.PRED,C1.PRED.LOG,C2.PRED.LOG,C3.PRED.LOG,C4.PRED.LOG,SPILL.PRED.LOG,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,C1.RT.RESID,C2.RT.RESID,C3.RT.RESID,C4.RT.RESID,SPILL.RT.RESID,C1.RT.LOG.RESID,C2.RT.LOG.RESID,C3.RT.LOG.RESID,C4.RT.LOG.RESID,SPILL.RT.LOG.RESID,PP.RT,PP.LOG,VP.RT,VP.LOG,PP.PRED,PP.PRED.LOG,VP.PRED,VP.PRED.LOG,PP.RESID,PP.RESID.LOG,VP.RESID,VP.RESID.LOG,SPILL.RESID,SPILL.RESID.LOG
37,35,19,28,exp,167,147,189,212,184,Every,eatery,seemed funky,"in Warsaw,",so there was plenty of choice.,1,EXT-SUB,SUB,EXT,I was on a travel app researching funky eateries to try out in Warsaw and other cities.,1776,seemed,funky,5506,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.117993812416755,4.990432586778736,5.241747015059643,5.356586274672012,5.214935757608986,-161.9380571779891,-162.37238446562105,-36.17796393073033,-44.41541141510373,-122.94731529869841,-0.27091092174920384,-0.2803801198408369,0.11832257021437265,0.19250269669512843,-0.1301277550235076,212,5.356586274672012,189,5.241747015059643,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-44.41541141510373,0.19250269669512843,-36.17796393073033,0.11832257021437265,-122.94731529869841,-0.1301277550235076
37,35,20,16,exp,200,207,162,183,222,Every,gallery,seemed high-end,"in Venice,",so I decided to go there.,1,EXT-SUB,SUB,EXT,I was on a travel app researching high-end galleries to visit in Venice and other cities.,16305,seemed,high-end,1482,1,328.9380571779891,309.37238446562105,184.94679270417026,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.057461385441966,5.164083577976884,5.3450635126324935,5.298317366548036,5.332718793265369,5.087596335232384,5.209486152841421,5.402677381872279,-128.9380571779891,-102.37238446562105,-22.946792704170264,-73.41541141510373,-84.94731529869841,-0.09058736761792296,0.06190608664579589,0.03013494979041731,0.04540257486453747,0.05761386923978584,183,5.209486152841421,162,5.087596335232384,256.41541141510373,5.164083577976884,184.94679270417026,5.057461385441966,-73.41541141510373,0.04540257486453747,-22.946792704170264,0.03013494979041731,-84.94731529869841,0.05761386923978584
37,35,22,54,exp,233,156,73,185,280,Every,walk,in Barcelona,"seemed easy,",so I had some deciding to do.,0,INT-SUB,SUB,INT,I was checking out a guidebook to find suggestions for easy walks to enjoy in Barcelona and other cities.,3286,seemed,easy,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,5.4510384535657,5.049856007249537,4.290459441148391,5.220355825078324,5.634789603169249,-95.9380571779891,-153.37238446562105,-152.17796393073033,-71.41541141510373,13.283855927861623,0.06213371939974088,-0.22095669937003581,-0.832965003696879,0.05627224710144052,0.3556891499400585,73,4.290459441148391,185,5.220355825078324,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-152.17796393073033,-0.832965003696879,-71.41541141510373,0.05627224710144052,13.283855927861623,0.3556891499400585
37,35,23,32,exp,225,156,79,253,203,Every,apartment,seemed wonderful,"in Madrid,",so I booked straightaway.,1,EXT-SUB,SUB,EXT,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,2326,seemed,wonderful,1397,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.41610040220442,5.049856007249537,4.3694478524670215,5.53338948872752,5.313205979041787,-103.9380571779891,-153.37238446562105,-146.17796393073033,-3.4154114151037334,-184.40965775181854,0.027195668038460852,-0.22095669937003581,-0.7539765923782484,0.36930591075063646,-0.16378365239731352,253,5.53338948872752,79,4.3694478524670215,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-3.4154114151037334,0.36930591075063646,-146.17796393073033,-0.7539765923782484,-184.40965775181854,-0.16378365239731352
37,35,28,18,exp,173,183,182,138,155,Every,café,in Glasgow,"seemed cute,",so there was plenty of choice.,0,INT-SUB,SUB,INT,I was checking out a guidebook to find suggestions for cute cafés to try out in Glasgow and other cities.,3479,seemed,cute,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.153291594497779,5.209486152841421,5.204006687076795,4.927253685157205,5.043425116919247,-155.9380571779891,-126.37238446562105,-43.17796393073033,-118.41541141510373,-151.9473152986984,-0.23561313966817998,-0.06132655377815155,0.08058224223152521,-0.2368298928196788,-0.3016383957132467,182,5.204006687076795,138,4.927253685157205,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-43.17796393073033,0.08058224223152521,-118.41541141510373,-0.2368298928196788,-151.9473152986984,-0.3016383957132467
37,35,31,46,exp,188,163,159,138,442,Every,theatre,in Berlin,"seemed historic,",so I decided to go there.,0,INT-SUB,SUB,INT,I was on a travel app researching historic theatres to visit in Berlin and other cities.,1618,seemed,historic,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.236441962829949,5.093750200806762,5.0689042022202315,4.927253685157205,6.091309882077698,-140.9380571779891,-146.37238446562105,-66.17796393073033,-118.41541141510373,135.0526847013016,-0.15246277133601005,-0.17706250581281058,-0.054520242625038406,-0.2368298928196788,0.7462463694452044,159,5.0689042022202315,138,4.927253685157205,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-66.17796393073033,-0.054520242625038406,-118.41541141510373,-0.2368298928196788,135.0526847013016,0.7462463694452044
37,35,32,2,exp,180,218,159,164,118,Every,hostel,in London,"seemed quirky,",so I booked straightaway.,1,INT-SUB,SUB,INT,I was on a website trying to find quirky hostels to stay at in London and other cities.,1865,seemed,quirky,1303,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.19295685089021,5.384495062789089,5.0689042022202315,5.099866427824199,4.770684624465665,-148.9380571779891,-91.37238446562105,-66.17796393073033,-92.41541141510373,-269.40965775181854,-0.19594788327574886,0.11368235616951594,-0.054520242625038406,-0.06421715015268514,-0.7063050069734356,159,5.0689042022202315,164,5.099866427824199,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-66.17796393073033,-0.054520242625038406,-92.41541141510373,-0.06421715015268514,-269.40965775181854,-0.7063050069734356
37,35,34,24,exp,192,150,175,143,216,Every,getaway,seemed romantic,"in Amsterdam,",so I had some deciding to do.,0,EXT-SUB,SUB,EXT,I was checking out a guidebook to find suggestions for romantic getaways to enjoy in Amsterdam and other cities.,4977,seemed,romantic,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,5.2574953720277815,5.0106352940962555,5.1647859739235145,4.962844630259907,5.375278407684165,-136.9380571779891,-159.37238446562105,-50.17796393073033,-113.41541141510373,-50.71614407213838,-0.13140936213817778,-0.2601774125233174,0.04136152907824453,-0.20123894771697692,0.09617795445497457,143,4.962844630259907,175,5.1647859739235145,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-113.41541141510373,-0.20123894771697692,-50.17796393073033,0.04136152907824453,-50.71614407213838,0.09617795445497457
37,35,36,58,exp,97,150,352,187,432,Every,bistro,in Leeds,"seemed popular,",so there was plenty of choice.,0,INT-SUB,SUB,INT,I was on a travel app researching popular bistros to try out in Leeds and other cities.,4581,seemed,popular,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,4.574710978503383,5.0106352940962555,5.863631175598097,5.231108616854587,6.068425588244111,-231.9380571779891,-159.37238446562105,126.82203606926967,-69.41541141510373,125.05268470130159,-0.8141937556625765,-0.2601774125233174,0.7402067307528268,0.06702503887770295,0.7233620756116173,352,5.863631175598097,187,5.231108616854587,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,126.82203606926967,0.7402067307528268,-69.41541141510373,0.06702503887770295,125.05268470130159,0.7233620756116173
37,35,37,52,exp,191,146,204,123,221,Every,lodge,seemed inexpensive,"in Bangkok,",so I booked straightaway.,0,EXT-SUB,SUB,EXT,I was on a travel app researching inexpensive lodges to stay at in Bangkok and other cities.,3011,seemed,inexpensive,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,387.40965775181854,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.476989631439101,5.25227342804663,4.983606621708336,5.318119993844216,4.812184355372417,5.3981627015177525,-137.9380571779891,-163.37238446562105,-21.17796393073033,-133.41541141510373,-166.40965775181854,-0.1366313061193294,-0.28720608491123656,0.19469554899894614,-0.3518992226044668,-0.07882692992134821,123,4.812184355372417,204,5.318119993844216,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-133.41541141510373,-0.3518992226044668,-21.17796393073033,0.19469554899894614,-166.40965775181854,-0.07882692992134821
37,35,38,30,exp,429,125,154,170,400,Every,square,in Florence,"seemed busy,",so I knew just where to go.,0,INT-SUB,SUB,INT,I was checking out a guidebook to find suggestions for busy squares to explore in Florence and other cities.,3432,seemed,busy,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,6.061456918928017,4.8283137373023015,5.0369526024136295,5.135798437050262,5.991464547107982,100.0619428220109,-184.37238446562105,-71.17796393073033,-86.41541141510373,133.28385592786162,0.6725521847620577,-0.4424989693172714,-0.08647184243164041,-0.02828514092662182,0.712364093878791,154,5.0369526024136295,170,5.135798437050262,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-71.17796393073033,-0.08647184243164041,-86.41541141510373,-0.02828514092662182,133.28385592786162,0.712364093878791
37,35,39,20,exp,195,174,133,91,313,Every,church,seemed ornate,"in Belfast,",so I knew just where to go.,1,EXT-SUB,SUB,EXT,I was on a website trying to find ornate churches to explore in Belfast and other cities.,1815,seemed,ornate,1552,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,5.272999558563747,5.159055299214529,4.890349128221754,4.51085950651685,5.746203190540153,-133.9380571779891,-135.37238446562105,-92.17796393073033,-165.41541141510373,46.28385592786162,-0.11590517560221247,-0.11175740740504381,-0.23307531662351622,-0.6532240714600341,0.4671027373109622,91,4.51085950651685,133,4.890349128221754,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-165.41541141510373,-0.6532240714600341,-92.17796393073033,-0.23307531662351622,46.28385592786162,0.4671027373109622
37,35,42,51,exp,339,116,82,198,169,Every,brewery,in Belgium,"looked exclusive,",so I decided to go there.,0,INT-OTH,OTH,INT,I was watching a vlog for inspiration for exclusive breweries to visit in Canada and other countries.,2993,looked,exclusive,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.82600010738045,4.7535901911063645,4.406719247264253,5.288267030694535,5.1298987149230735,10.061942822010906,-193.37238446562105,-143.17796393073033,-58.41541141510373,-137.9473152986984,0.43709537321449066,-0.5172225155132084,-0.7167051975810166,0.1241834527176513,-0.21516479770941999,82,4.406719247264253,198,5.288267030694535,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-143.17796393073033,-0.7167051975810166,-58.41541141510373,0.1241834527176513,-137.9473152986984,-0.21516479770941999
37,35,43,1,exp,380,428,223,133,110,Every,beach,looked beautiful,"in Italy,",so I decided to go there.,1,EXT-OTH,OTH,EXT,I was flicking through a holiday brochure to find beautiful beaches to visit in Spain and other countries.,3654,looked,beautiful,1953,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.940171252720432,6.059123195581797,5.407171771460119,4.890349128221754,4.700480365792417,51.061942822010906,118.62761553437895,-2.1779639307303285,-123.41541141510373,-196.9473152986984,0.5512665185544723,0.7883104889622237,0.2837473266148489,-0.27373444975513017,-0.6445831468400769,133,4.890349128221754,223,5.407171771460119,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-123.41541141510373,-0.27373444975513017,-2.1779639307303285,0.2837473266148489,-196.9473152986984,-0.6445831468400769
37,35,44,59,exp,1119,182,158,272,135,Every,trek,in Spain,"looked challenging,",so I had some deciding to do.,1,INT-OTH,OTH,INT,I was reading a blog to get some ideas for challenging treks to enjoy in Thailand and other countries.,2157,looked,challenging,1181,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,7.020190708311925,5.204006687076795,5.062595033026967,5.605802066295998,4.90527477843843,790.0619428220109,-127.37238446562105,-67.17796393073033,15.584588584896267,-131.71614407213838,1.6312859741459658,-0.06680601954277776,-0.060829411818303036,0.44171848831911387,-0.3738256747907611,158,5.062595033026967,272,5.605802066295998,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-67.17796393073033,-0.060829411818303036,15.584588584896267,0.44171848831911387,-131.71614407213838,-0.3738256747907611
37,35,45,6,exp,212,201,153,502,448,Every,monument,in Edinburgh,"seemed interesting,",so I decided to go there.,1,INT-SUB,SUB,INT,I was checking out a guidebook to find suggestions for interesting monuments to visit in Edinburgh and other cities.,2812,seemed,interesting,1098,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.356586274672012,5.303304908059076,5.030437921392435,6.218600119691729,6.104793232414985,-116.9380571779891,-108.37238446562105,-72.17796393073033,245.58458858489627,141.0526847013016,-0.03231845949394696,0.03249220143950282,-0.09298652345283465,1.054516541714845,0.7597297197824915,153,5.030437921392435,502,6.218600119691729,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-72.17796393073033,-0.09298652345283465,245.58458858489627,1.054516541714845,141.0526847013016,0.7597297197824915
37,35,49,38,exp,190,158,154,109,171,Every,pub,in Perth,"seemed cosy,",so there was plenty of choice.,1,INT-SUB,SUB,INT,I was on a website trying to find cosy pubs to try out in Perth and other cities.,6105,seemed,cosy,1331,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.3450635126324935,5.247024072160486,5.062595033026967,5.0369526024136295,4.6913478822291435,5.14166355650266,-138.9380571779891,-151.37238446562105,-71.17796393073033,-147.41541141510373,-135.9473152986984,-0.1418806620054731,-0.208217673592606,-0.08647184243164041,-0.47273569574774044,-0.2033999561298332,154,5.0369526024136295,109,4.6913478822291435,225.17796393073033,5.12342444484527,256.41541141510373,5.164083577976884,-71.17796393073033,-0.08647184243164041,-147.41541141510373,-0.47273569574774044,-135.9473152986984,-0.2033999561298332
37,35,51,36,exp,411,1095,164,247,211,Every,place,seemed awesome,"in Los Angeles,",so I decided to go there.,0,EXT-SUB,SUB,EXT,I was checking out a guidebook to find suggestions for awesome places to visit in Los Angeles and other cities.,3276,seemed,awesome,NA,NQ,328.9380571779891,309.37238446562105,225.17796393073033,216.18424018854367,306.9473152986984,5.388904734165959,5.270812706619573,5.12342444484527,5.09812051857358,5.3450635126324935,6.018593214496234,6.9985096422506015,5.099866427824199,5.5093883366279774,5.351858133476067,82.0619428220109,785.627615534379,-61.17796393073033,30.81575981145633,-95.94731529869841,0.6296884803302749,1.7276969356310286,-0.023558017021071187,0.41126781805439716,0.006794620843573185,247,5.5093883366279774,164,5.099866427824199,216.18424018854367,5.09812051857358,225.17796393073033,5.12342444484527,30.81575981145633,0.41126781805439716,-61.17796393073033,-0.023558017021071187,-95.94731529869841,0.006794620843573185
37,35,53,49,exp,149,386,161,181,13,Every,fountain,looked impressive,"in Canada,",so I had some deciding to do.,1,EXT-OTH,OTH,EXT,I was flicking through a holiday brochure to find impressive fountains to enjoy in Turkey and other countries.,3758,looked,impressive,1887,1,328.9380571779891,309.37238446562105,225.17796393073033,256.41541141510373,266.7161440721384,5.388904734165959,5.270812706619573,5.12342444484527,5.164083577976884,5.279100453229191,5.003946305945459,5.955837369464831,5.081404364984463,5.198497031265826,2.5649493574615367,-179.9380571779891,76.62761553437895,-64.17796393073033,-75.41541141510373,-253.71614407213838,-0.3849584282205001,0.6850246628452581,-0.0420200798608068,0.034413453288942186,-2.714151095767654,181,5.198497031265826,161,5.081404364984463,256.41541141510373,5.164083577976884,225.17796393073033,5.12342444484527,-75.41541141510373,0.034413453288942186,-64.17796393073033,-0.0420200798608068,-253.71614407213838,-2.714151095767654
