Participant,Age,TrialN,StimID,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp,C1.LEN.PRED,C2.LEN.PRED,C3.LEN.PRED,C4.LEN.PRED,SPILL.LEN.PRED,C1.POS.PRED,C2.POS.PRED,C3.POS.PRED,C4.POS.PRED,SPILL.POS.PRED,C3.VP.PRED,C4.VP.PRED,InfoCount,C1.RT.LOG,C2.RT.LOG,C3.RT.LOG,C4.RT.LOG,SPILL.RT.LOG,EXC.RT,EXC.LOG,VP.RT,VP.LOG,EXC.LEN,EXC.POS,VP.PRED,VP.RESID
5,32,38,7,645,416,355,466,583,Every,museum,except those in Portugal,"looked cool,",37226,0,SUB,I was on a website trying to find cool museums to visit in Portugal and other countries.,4840,looked,PRE-SUB,PRE,except those in Portugal,2378,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,5,6.4692503167957724,6.030685260261263,5.872117789475416,6.1441856341256456,6.368187186350492,355,5.872117789475416,466,6.1441856341256456,448.05170835550837,428.23333333333335,448.61553457094834,17.38446542905166
5,32,39,3,474,372,395,470,690,Every,restaurant,except those in Italy,"looked fancy,",so I didn't know what to do.,1,SUB,I was watching a vlog for inspiration for fancy restaurants to try out in Italy and other countries.,2732,looked,PRE-SUB,PRE,except those in Italy,2482,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,6,6.161207321695077,5.918893854273146,5.978885764901122,6.152732694704104,6.536691597591305,395,5.978885764901122,470,6.152732694704104,448.05170835550837,428.23333333333335,448.61553457094834,21.38446542905166
5,32,41,25,532,321,672,623,464,Every,river,except those in the blog,"looked soothing,",37226,1,MAX,I was reading a blog to get some ideas for soothing rivers to explore in Norway and other countries.,4127,looked,PRE-MAX,PRE,except those in the blog,1730,1,415.0654390633318,415.0654390633318,459.04713145290054,426.060862160724,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,469.17003254998696,448.61553457094834,4,6.2766434893416445,5.771441123130016,6.5102583405231496,6.434546518787453,6.139884552226255,672,6.5102583405231496,623,6.434546518787453,459.04713145290054,428.23333333333335,448.61553457094834,174.38446542905166
5,32,43,26,476,367,366,559,581,Every,bar,seemed lively,"except those in the brochure,",so I didn't know what to do.,1,MAX,I was flicking through a holiday brochure to find lively bars to visit in Prague and other cities.,2792,seemed,PST-MAX,PST,except those in the brochure,2473,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,3,6.16541785423142,5.905361848054571,5.902633333401366,6.326149473155099,6.364750756851911,559,6.326149473155099,366,5.902633333401366,459.04713145290054,449.36666666666673,435.3690882426584,-69.36908824265839
5,32,48,59,596,442,406,435,550,Every,trek,except those in Indonesia,"looked challenging,",37226,1,SUB,I was on a travel app researching challenging treks to enjoy in Indonesia and other countries.,3828,looked,PRE-SUB,PRE,except those in Indonesia,1628,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,3,6.39024066706535,6.091309882077698,6.0063531596017325,6.075346031088684,6.309918278226516,406,6.0063531596017325,435,6.075346031088684,448.05170835550837,428.23333333333335,448.61553457094834,-13.615534570948341
5,32,49,47,500,395,528,513,501,Every,chalet,except those in Denmark,"looked pleasant,",so I didn't know what to do.,1,SUB,I was on a website trying to find pleasant chalets to stay at in Denmark and other countries.,2952,looked,PRE-SUB,PRE,except those in Denmark,1466,1,415.0654390633318,415.0654390633318,448.05170835550837,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,457.90305111421077,448.61553457094834,6,6.214608098422191,5.978885764901122,6.269096283706261,6.240275845170769,6.2166061010848646,528,6.269096283706261,513,6.240275845170769,448.05170835550837,428.23333333333335,448.61553457094834,64.38446542905166
5,32,50,44,431,421,483,538,494,Every,sight,seemed picture-perfect,"except those in Cairo,",so I didn't know what to do.,1,SUB,I was on a travel app researching picture-perfect sights to enjoy in Cairo and other cities.,3730,seemed,PST-SUB,PST,except those in Cairo,1390,1,415.0654390633318,415.0654390633318,426.060862160724,448.05170835550837,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,471.1494974425007,4,6.066108090103747,6.042632833682381,6.180016653652572,6.2878585601617845,6.202535517187923,538,6.2878585601617845,483,6.180016653652572,448.05170835550837,449.36666666666673,435.3690882426584,47.63091175734161
5,32,51,6,460,444,455,532,591,Every,monument,seemed interesting,"except those in the brochure,",so I didn't know what to do.,1,MAX,I was flicking through a holiday brochure to find interesting monuments to visit in Edinburgh and other cities.,2816,seemed,PST-MAX,PST,except those in the brochure,1263,1,415.0654390633318,415.0654390633318,426.060862160724,459.04713145290054,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,482.4164788782769,4,6.131226489483141,6.095824562432225,6.12029741895095,6.2766434893416445,6.3818160174060985,532,6.2766434893416445,455,6.12029741895095,459.04713145290054,449.36666666666673,435.3690882426584,19.630911757341607
5,32,55,53,360,242,304,331,442,Every,rollercoaster,except those in the vlog,"looked thrilling,",so I needed to do more research.,1,MAX,I was watching a vlog for inspiration for thrilling rollercoasters to try out in Belgium and other countries.,2861,looked,PRE-MAX,PRE,except those in the vlog,1587,1,415.0654390633318,415.0654390633318,459.04713145290054,426.060862160724,481.03797764768495,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,469.17003254998696,448.61553457094834,7,5.886104031450156,5.488937726156687,5.717027701406222,5.802118375377063,6.091309882077698,304,5.717027701406222,331,5.802118375377063,459.04713145290054,428.23333333333335,448.61553457094834,-117.61553457094834
5,32,56,28,472,331,472,622,614,Every,eatery,seemed funky,"except those in Warsaw,",37226,1,SUB,I was watching a vlog for inspiration for funky eateries to try out in Warsaw and other cities.,3183,seemed,PST-SUB,PST,except those in Warsaw,2424,1,415.0654390633318,415.0654390633318,426.060862160724,448.05170835550837,415.0654390633318,473.43333333333345,367.2833333333334,428.23333333333335,449.36666666666673,462.3833333333334,435.3690882426584,471.1494974425007,8,6.156978985585555,5.802118375377063,6.156978985585555,6.432940092739179,6.419994928147142,622,6.432940092739179,472,6.156978985585555,448.05170835550837,449.36666666666673,435.3690882426584,36.63091175734161
