Participant,Age,TrialN,StimID,StimType,C1.RT,C2.RT,C3.RT,C4.RT,SPILL.RT,CHUNK1,CHUNK2,CHUNK3,CHUNK4,SPILL,CompAcc,ExceptiveType,MAXRestrType,MAXRestr,MENRestrType,MENRestr,Context,ContextRT,LOOK_SEEM,Condition,ExceptivePosition,EXCEPTIVE,CompRT,has_comp
52,21,58,56,exp,434.40000000000003,374.3,528.5,488.20000000000005,562.5,Every,statue,except those in the brochure,"seemed famous,",so I had some deciding to do.,1,MAX,brochure,in the brochure,city,in New York,I was flicking through a holiday brochure to find famous statues to visit in New York and other cities.,3566.5,seemed,PRE-MAX,PRE,except those in the brochure,2680.5,1
52,21,59,75,fill,357.09999999999997,400.2,396.3,583.3000000000001,889.2,I rented,the priciest,car available,"in Stockholm,",so I made some nice memories.,1,FILL,city,in Sweden,country,in Stockholm,"I got home yesterday from a short vacation in Sweden. You won't believe it! According to locals,",2449.5,NA,FILL,FILL,FILL,1506.3,1
52,21,60,29,exp,708.4,317.09999999999997,329.29999999999995,477,568.6999999999999,Every,shop,looked trendy,"except those on the app,",so I didn't know what to do.,1,MAX,app,on the app,country,in Hungary,I was on a travel app researching trendy shops to enjoy in Hungary and other countries.,2782.5,looked,PST-MAX,PST,except those on the app,1711.1000000000001,1
52,21,61,32,exp,678.6999999999999,403,784,691.1,1006.5,Every,apartment,except those on the website,"seemed wonderful,",so I needed to do more research.,1,MAX,website,on the website,city,in Madrid,I was on a website trying to find wonderful apartments to stay at in Madrid and other cities.,4150.299999999999,seemed,PRE-MAX,PRE,except those on the website,1672.8,1
52,21,62,49,exp,359.8,312.59999999999997,307.59999999999997,354.3,603.6,Every,fountain,looked impressive,"except those on the app,",so I didn't know what to do.,1,MAX,app,on the app,country,in Turkey,I was on a travel app researching impressive fountains to enjoy in Turkey and other countries.,2495.8,looked,PST-MAX,PST,except those on the app,2626.3,1
52,21,63,82,fill,366.9,343.9,321.2,342.4,587.0999999999999,I swam in,the largest,swimming pool,"in Tokyo,",so I made some nice memories.,1,FILL,city,in Japan,country,in Tokyo,"I'm just back from a week-long trip in Japan. I'm really pleased! Apparently,",1593.6999999999998,NA,FILL,FILL,FILL,1390.8,1
52,21,64,89,fill,400.8,279.2,307.90000000000003,390.6,417.7,I had,the finest,seafood,"in Budapest,",so I really enjoyed it.,1,FILL,city,in Hungary,country,in Budapest,"I've just returned from a great holiday in Hungary. I was really shocked. Allegedly,",2038.1999999999998,NA,FILL,FILL,FILL,1386.6000000000001,1
52,21,65,80,fill,391.5,278.6,351.4,390.5,510.70000000000005,I got to enjoy,the tastiest,curry,"in Bogotá,",so I really enjoyed it.,1,FILL,city,in Colombia,country,in Bogotá,"I've just returned from a short vacation in Colombia. I was really shocked. According to my friends,",2290.2,NA,FILL,FILL,FILL,1220.1,1
52,21,66,10,exp,567,300.4,376.59999999999997,451.40000000000003,460.8,Every,canal,except those in Gloucester,"seemed lovely,",so I had some deciding to do.,1,MEN,blog,in the blog,city,in Gloucester,I was reading a blog to get some ideas for lovely canals to explore in Gloucester and other cities.,2661.9,seemed,PRE-MEN,PRE,except those in Gloucester,2443,1
52,21,67,40,exp,330.5,319.40000000000003,359.20000000000005,455.7,834.8,Every,garden,except those in the blog,"seemed colourful,",so I needed to do more research.,0,MAX,blog,in the blog,city,in Zagreb,I was reading a blog to get some ideas for colourful gardens to explore in Zagreb and other cities.,2701.7000000000003,seemed,PRE-MAX,PRE,except those in the blog,4405.3,1
